iter	Passed	Remaining
385	1055	1678
386	1058	1676
387	1061	1673
388	1063	1670
389	1066	1667
390	1070	1666
391	1072	1663
392	1075	1660
393	1077	1656
394	1079	1652
395	1080	1648
396	1082	1644
397	1084	1640
398	1086	1636
399	1088	1632
400	1089	1628
401	1091	1623
402	1093	1619
403	1094	1615
404	1096	1610
405	1097	1606
406	1099	1601
407	1101	1597
408	1102	1593
409	1103	1588
410	1105	1584
411	1107	1579
412	1108	1575
413	1109	1571
414	1111	1566
415	1112	1562
416	1115	1559
417	1116	1555
418	1118	1550
419	1119	1546
420	1121	1542
421	1123	1538
422	1124	1534
423	1126	1529
424	1127	1525
425	1129	1521
426	1131	1517
427	1132	1513
428	1134	1509
429	1135	1505
430	1137	1501
431	1139	1497
432	1140	1493
433	1142	1489
434	1144	1485
435	1145	1481
436	1147	1477
437	1148	1473
438	1150	1469
439	1151	1466
440	1153	1462
441	1154	1457
442	1156	1454
443	1158	1450
